titular,empresa,variedade,tipo_ciclo,inicio_ret,NºRNC,grupo__qualidade,ano_class_qualidade
SYNGENTA,SYNGENTA,BAGUETTE 820,I,2021,20447,GRUPO DE CALIDAD 3,2021
ACA,ACA,ACA 360 ,L,2013,14471,GRUPO DE CALIDAD 1,2023
ACA,ACA,365,L,2018,17983,GRUPO DE CALIDAD 1,2023
ACA,ACA,920,C,2018,17986,GRUPO DE CALIDAD 1,2023
ACA,Syngenta,460,C,2021,20498,GRUPO DE CALIDAD 1,2023
ACA,ACA,ACA363,L,2022,21453,GRUPO DE CALIDAD 1,2023
ACA,ACA,ACA921,C,2022,21455,GRUPO DE CALIDAD 1,2023
ACA,ASOCIADOS DON MARIO,CAMBIUM ,C,2013,14474,GRUPO DE CALIDAD 1,2023
ACA,ACA,ACA 607,C,2023,22419,GRUPO DE CALIDAD 1,2023
BIOTRIGO,ASOCIADOS DON MARIO,TBIO AUDAZ,C,2019,17458,GRUPO DE CALIDAD 1,2023
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK METEORO ,I,2007,10658,GRUPO DE CALIDAD 1,2023
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK SAETA,C,2015,15754,GRUPO DE CALIDAD 1,2023
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK DESTELLO,L,2017,17282,GRUPO DE CALIDAD 1,2023
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK CAMBÁ,C,2018,17978,GRUPO DE CALIDAD 1,2023
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK RESPLANDOR,L,2019,18645,GRUPO DE CALIDAD 1,2023
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK FULGOR,C,2021,20345,GRUPO DE CALIDAD 1,2023
BUCK SEMILLAS S.A.,CAPELLONI,BUCK GLUTINO ,C,2007,10015,GRUPO DE CALIDAD 1,2023
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,370502,C,2023,22421,GRUPO DE CALIDAD 1,2023
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN CIEN AÑOS,L,2019,18693,GRUPO DE CALIDAD 1,2023
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN VALOR,C,2018,17993,GRUPO DE CALIDAD 1,2023
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN POTRO,C,2018,17994,GRUPO DE CALIDAD 1,2023
GDM Argentina,ADM,IS HORNERO,C,2021,20492,GRUPO DE CALIDAD 1,2023
GDM Argentina,GDM Argentina,Aguaribay,I,2023,22406,GRUPO DE CALIDAD 1,2023
INTA,LDC SEMILLAS,MS INTA Bonaerense 514,I,2015,15244,GRUPO DE CALIDAD 1,2023
INTA,LDC SEMILLAS,MS INTA 521,I,2022,21350,GRUPO DE CALIDAD 1,2023
INTA,INTA,MS INTA MDA Bonaerense 423 ,L,2023,22346,GRUPO DE CALIDAD 1,2023
LIMAGRAIN,LIMAGRAIN,LG ARLASK,I,2017,17150,GRUPO DE CALIDAD 1,2023
NIDERA,NIDERA,BAGUETTE 450,C,2017,17153,GRUPO DE CALIDAD 1,2023
ACA,ACA,603,I,2019,19303,GRUPO DE CALIDAD 2,2023
ACA,ACA,916,C,2019,18896,GRUPO DE CALIDAD 2,2023
ACA,ACA,915,C,2018,17984,GRUPO DE CALIDAD 2,2023
ACA,ACA,ACA 909,C,2015,15733,GRUPO DE CALIDAD 2,2023
ACA,ACA,ACA 602,I,2013,14472,GRUPO DE CALIDAD 2,2023
ACA,ACA,ACA 917,I,2020,19479,GRUPO DE CALIDAD 2,2023
ACA,ACA,ACA 362,L,2020,19475,GRUPO DE CALIDAD 2,2023
ACA,ACA,ACA 364,L,2022,21451,GRUPO DE CALIDAD 2,2023
ACA,ACA,ACA 502,L,2022,21449,GRUPO DE CALIDAD 2,2023
ADM,ADM,AROMO,C,2022,20930,GRUPO DE CALIDAD 2,2023
ADM,ADM,CATALPA,I,2022,20929,GRUPO DE CALIDAD 2,2023
ASOCIADOS DON MARIO S.A.,ASOCIADOS DON MARIO S.A.,HO CARCARAÑA,I,2020,18140,GRUPO DE CALIDAD 2,2023
ASOCIADOS DON MARIO S.A.,ASOCIADOS DON MARIO S.A.,HO ATUEL,C,2017,17283,GRUPO DE CALIDAD 2,2023
BIOSEMINIS ,BIOSEMINIS,MIGNON,C,2023,22479,GRUPO DE CALIDAD 2,2023
BIOTRIGO,ASOCIADOS DON MARIO S.A.,ÑANDUBAY,I,2018,17457,GRUPO DE CALIDAD 2,2023
BIOTRIGO,ASOCIADOS DON MARIO S.A.,CEIBO,C,2015,15365,GRUPO DE CALIDAD 2,2023
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK BRAVIO CL2,I,2021,20475,GRUPO DE CALIDAD 2,2023
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK CUMELEN,I,2019,18373,GRUPO DE CALIDAD 2,2023
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK COLIHUE,C,2019,18778,GRUPO DE CALIDAD 2,2023
BUCK SEMILLAS S.A.,BUCK SEMILLAS S.A.,BUCK AIMARÁ,L,2022,21629,GRUPO DE CALIDAD 2,2023
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN NUTRIA ,C,2009,11588,GRUPO DE CALIDAD 2,2023
CRIADERO KLEIN S.A.,CRIADERO KLEIN S.A.,KLEIN SELENIO,I,2021,20511,GRUPO DE CALIDAD 2,2023
FLORIMOND DESPREZ,BIOCERES,ARAZA,L,2023,22401,GRUPO DE CALIDAD 2,2023
FLORIMOND DESPREZ,BIOCERES,LAUREL,C,2023,21522,GRUPO DE CALIDAD 2,2023
GDM Argentina,ADM,IS TERO,I,2022,21306,GRUPO DE CALIDAD 2,2023
GDM Argentina,ASOCIADOS DON MARIO S.A.,IS TORDO,C,2021,20491,GRUPO DE CALIDAD 2,2023
INSTITUTUL NATIONAL DE CERCETA,ASOCIADOS DON MARIO S.A.,LENOX,L,2011,13055,GRUPO DE CALIDAD 2,2023
INTA,BIOCERES,BIOINTA 1006,C,2011,11562,GRUPO DE CALIDAD 2,2023
INTA,LCD SEMILLAS,MS INTA221,L,2022,21249,GRUPO DE CALIDAD 2,2023
INTA,LDC SEMILLAS,MS INTA Bonaerense 215,L,2016,16246,GRUPO DE CALIDAD 2,2023
INTA,INTA,MS INTA 622,I,2023,,GRUPO DE CALIDAD 2,2023
INTA,INTA,MS INTA 924,I,2023,,GRUPO DE CALIDAD 2,2023
LIMAGRAIN,LIMAGRAIN,LG ARYAL,L,2020,19379,GRUPO DE CALIDAD 2,2023
LIMAGRAIN,LIMAGRAIN,LIMAY,I,2022,20676,GRUPO DE CALIDAD 2,2023
LIMAGRAIN,LIMAGRAIN,LG MORO,I,2022,21373,GRUPO DE CALIDAD 2,2023
NIDERA,NIDERA,BAGUETTE 620,I,2017,17147,GRUPO DE CALIDAD 2,2023
NIDERA,NIDERA,BAGUETTE 680,I,2017,17146,GRUPO DE CALIDAD 2,2023
